name,price,description,brand,page,url,price_numeric,volume,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
Solar Gel 421 Loading Beige...,EGP 247.00,Redefine your nail game with Loading Beige Solar Gel Professional Nail Polish in sandy beige. This tranquil shade evokes the calm of sunny seaside moments. The 2-step system delivers a gel-like ...,Kinetics,9,https://sourcebeauty.com/collections/makeup?tab=products&page=9,247.0,,5.5093883366279774,-0.037520138526959956,0,0,0,2,1
Solar Gel 457 Secret Weapon,EGP 247.00,"Reveal your hidden charm with Secret Weapon Solar Gel Professional Nail Polish in icy pink. This graceful shade evokes the delicate beauty of rose gelato and sakura blossoms, adding a touch of ...",Kinetics,9,https://sourcebeauty.com/collections/makeup?tab=products&page=9,247.0,,5.5093883366279774,-0.037520138526959956,0,0,0,2,1
Solar Gel 494 Soft Often,EGP 247.00,"Embrace timeless elegance with Soft Often Solar Gel Professional Nail Polish in light peach. This vibrant neon peach shade captures the essence of resilience and beauty, inspired by the peach tree ...",Kinetics,9,https://sourcebeauty.com/collections/makeup?tab=products&page=9,247.0,,5.5093883366279774,-0.037520138526959956,0,0,0,2,1
Solar Gel 573 Authentic Nude,EGP 247.00,"Reveal your natural charm with Authentic Nude Solar Gel Professional Nail Polish in warm beige. This soft, sandy shade beautifully complements golden skin tones and evokes the essence of a ...",Kinetics,8,https://sourcebeauty.com/collections/makeup?tab=products&page=8,247.0,,5.5093883366279774,-0.037520138526959956,0,0,0,2,1
Solar Gel 614 Presence,EGP 247.00,"Discover a new level of shine with Presence Solar Gel Professional Nail Polish in juicy orange. This vibrant, energetic shade brings a burst of freshness to your look, capturing the essence of ...",Kinetics,8,https://sourcebeauty.com/collections/makeup?tab=products&page=8,247.0,,5.5093883366279774,-0.037520138526959956,0,0,0,2,1
Solar Gel 618 Fun,EGP 247.00,"Color your nails with a touch of magic with Leisure Solar Gel Professional Nail Polish in lavender shimmer. This enchanting lavender shade brings a soft, sophisticated glow, perfect for any ...",Kinetics,8,https://sourcebeauty.com/collections/makeup?tab=products&page=8,247.0,,5.5093883366279774,-0.037520138526959956,0,0,0,2,1
Solar Gel 641 Shift,EGP 247.00,Enjoy a beautiful manicure with a gel-like shine that lasts longer than traditional nail polish using Kinetics Solar Gel 059 Rose Petal. This innovative formula provides a stunning finish with ...,Kinetics,1,https://sourcebeauty.com/collections/makeup?tab=products&page=1,247.0,,5.5093883366279774,-0.037520138526959956,0,0,0,2,1
Solar Gel 642 Bloom,EGP 247.00,Enjoy a beautiful manicure with a gel-like shine that lasts longer than traditional nail polish with Kinetics Solar Gel 642 Bloom. This innovative formula provides a stunning finish with extended ...,Kinetics,1,https://sourcebeauty.com/collections/makeup?tab=products&page=1,247.0,,5.5093883366279774,-0.037520138526959956,0,0,0,2,1
Solar Gel 643 Daybreak,EGP 247.00,Enjoy a beautiful manicure with a gel-like shine that lasts longer than traditional nail polish with Kinetics Solar Gel 643 Daybreak. This innovative formula provides a stunning finish with ...,Kinetics,1,https://sourcebeauty.com/collections/makeup?tab=products&page=1,247.0,,5.5093883366279774,-0.037520138526959956,0,0,0,2,1
Solar Gel 644 Resilience,EGP 247.00,Enjoy a beautiful manicure with a gel-like shine that lasts longer than traditional nail polish with Kinetics Solar Gel 644 Resilience. This innovative formula provides a stunning finish with ...,Kinetics,1,https://sourcebeauty.com/collections/makeup?tab=products&page=1,247.0,,5.5093883366279774,-0.037520138526959956,0,0,0,2,1
Solar Gel 645 Accelerate,EGP 247.00,Enjoy a beautiful manicure with a gel-like shine that lasts longer than traditional nail polish with Kinetics Solar Gel 645 Accelerate. This innovative formula provides a stunning finish with ...,Kinetics,1,https://sourcebeauty.com/collections/makeup?tab=products&page=1,247.0,,5.5093883366279774,-0.037520138526959956,0,0,0,2,1
Solar Gel 646 Vast,EGP 247.00,Enjoy a beautiful manicure with a gel-like shine that lasts longer than traditional nail polish with Kinetics Solar Gel 646 Vast. This innovative formula provides a stunning finish with extended ...,Kinetics,1,https://sourcebeauty.com/collections/makeup?tab=products&page=1,247.0,,5.5093883366279774,-0.037520138526959956,0,0,0,2,1
Solar Gel 647 Now,EGP 247.00,Enjoy a beautiful manicure with a gel-like shine that lasts longer than traditional nail polish with Kinetics Solar Gel 647 Now. This innovative formula provides a stunning finish with extended ...,Kinetics,1,https://sourcebeauty.com/collections/makeup?tab=products&page=1,247.0,,5.5093883366279774,-0.037520138526959956,0,0,0,2,1
Solar Gel 648 Perspective,EGP 247.00,Enjoy a beautiful manicure with a gel-like shine that lasts longer than traditional nail polish with Kinetics Solar Gel 648 Perspective. This innovative formula provides a stunning finish with ...,Kinetics,1,https://sourcebeauty.com/collections/makeup?tab=products&page=1,247.0,,5.5093883366279774,-0.037520138526959956,0,0,0,2,1
Stay & Play Gel Eyeliner,EGP 195.00,"Create bold, lasting looks with the Stay & Play Gel Eyeliner. Its intense, highly pigmented formula delivers rich colour that stays vibrant for up to 16 hours without smudging or fading. ...",Essence,2,https://sourcebeauty.com/collections/makeup?tab=products&page=2,195.0,,5.272999558563747,-0.4846569616822591,1,0,3,3,1
Super Fine Brush Liner Waterproof,EGP 250.00,"Achieve a flawless look with the Super Fine Brush Liner Waterproof. Its fine brush tip ensures precise, easy application for clean, defined lines. The waterproof formula provides long-lasting ...",Essence,2,https://sourcebeauty.com/collections/makeup?tab=products&page=2,250.0,,5.521460917862246,-0.014684470672590065,0,0,0,2,1
THICK & WOW! Fixing Brow Mascara,EGP 300.00,"Get fuller, thicker brows with ease using the THICK & WOW! Fixing Brow Mascara. This fixing mascara styles and holds hairs in place while adding volume with a rich color formula and fibers. ...",Essence,2,https://sourcebeauty.com/collections/makeup?tab=products&page=2,300.0,,5.703782474656201,0.3301824996005352,0,0,0,2,1
TexturEyes - 585,EGP 237.00,"Elevate your look with Ardell's TexturEyes Lashes. These lashes bring a bold, edgy vibe with uniquely layered, textured fibers that add full volume and length. The round lash silhouette creates ...",Ardell,8,https://sourcebeauty.com/collections/makeup?tab=products&page=8,237.0,,5.4680601411351315,-0.11569372269934883,0,0,0,2,1
Tinted Moisturizing Cream,EGP 193.00,"Enjoy vibrant, healthy color all day with Tulips Natural Beauty Care Moisturizing Tint. This nourishing, hydrating cream adds a natural, long-lasting flush of color to your cheeks. Infused with ...",Tulips,8,https://sourcebeauty.com/collections/makeup?tab=products&page=8,193.0,,5.262690188904886,-0.5041574592767104,1,0,3,3,1
Travel Bag,EGP 275.00,"Your ultimate solution for organizing and storing all your beauty essentials to have on the go! It comes in two sizes to cater to your needs, whether you want to take the beauty bag on long trips, ...",Source Beauty,14,https://sourcebeauty.com/collections/makeup?tab=products&page=14,275.0,,5.616771097666572,0.1655977379882918,0,0,0,2,1
Ultra Eyeliner,EGP 300.00,"Create flawless, long-lasting looks with the Ultra Eyeliner from Flormar. Its soft texture ensures easy application, while special polymers offer resistance to sweat, humidity, and tears. Enriched ...",Flormar,3,https://sourcebeauty.com/collections/makeup?tab=products&page=3,300.0,,5.703782474656201,0.3301824996005352,0,0,0,2,1
Velvet Compact Powder,EGP 280.00,Introducing the Ultra-fine Smooth and Longwearing Powder from Amanda! This revolutionary powder is designed to give you a natural and flawless look while providing you with a light and airy feel. ...,Amanda Milano,15,https://sourcebeauty.com/collections/makeup?tab=products&page=15,280.0,,5.634789603169249,0.1996803089734694,0,0,0,2,1
Velvet Smokey Eye Pencil,EGP 165.00,"Elevate your eye look with the Velvet Smokey Eye Pencil. Its creamy, velvety texture glides on effortlessly, delivering bold, blendable color for the perfect smokey effect. Designed to last all ...",Top Face,4,https://sourcebeauty.com/collections/makeup?tab=products&page=4,165.0,,5.10594547390058,-0.8006450272879306,1,0,3,3,1
Wet & Dry Powder,EGP 286.00,"Elevate your skincare routine with this amazing Wet & Dry Powder from Luna. A special formula that effectively conceals all skin imperfections. Designed to prevent pore-clogging, ensuring a ...",Luna,11,https://sourcebeauty.com/collections/makeup?tab=products&page=11,286.0,,5.655991810819852,0.2397849529011676,0,0,0,2,1
Whitening Eye Contour Concealer,EGP 199.00,"Introducing Drakon's Whitening Eye Contour Concealer, which serves a dual purpose as a concealer, working to diminish the visibility of dark circles, puffiness, and wrinkles.  Key Ingredients ...",Drakon,12,https://sourcebeauty.com/collections/makeup?tab=products&page=12,199.0,,5.293304824724492,-0.44624891084842655,1,0,3,3,1
Wispies 600,EGP 185.00,"Ardell's Wispies 600 lashes create an attractive effect by being longer in the center and shorter at the corners, giving your eyes a more open appearance. They are meticulously knotted and ...",Ardell,14,https://sourcebeauty.com/collections/makeup?tab=products&page=14,185.0,,5.220355825078324,-0.584234242560246,1,0,3,3,1
Wispies 603,EGP 185.00,"Ardell's Wispies 700 lashes are the newest style for the season. It is soft and seductive, providing the perfect doe-eyed look with volume and length. The lashes have shorter hairs at the inner ...",Ardell,14,https://sourcebeauty.com/collections/makeup?tab=products&page=14,185.0,,5.220355825078324,-0.584234242560246,1,0,3,3,1
Wispies 700,EGP 185.00,"Get ready! Ardell has introduced the latest trend in lashes for this season with the Wispies 700. These lashes are both gentle and alluring, while still giving you the desired impact. Achieve that ...",Ardell,14,https://sourcebeauty.com/collections/makeup?tab=products&page=14,185.0,,5.220355825078324,-0.584234242560246,1,0,3,3,1
